strength_state,score_diff_group,home_score_diff,home_goal_weight,away_goal_weight,home_goal,away_goal,home_goal_percent,home_pred_goal_weight,away_pred_goal_weight,home_pred_goal,away_pred_goal,home_pred_goal_percent,home_shot_weight,away_shot_weight,home_shot,away_shot,home_shot_percent,home_miss,away_miss,home_miss_percent,home_block,away_block,home_block_percent,home_fenwick_weight,away_fenwick_weight,home_fenwick,away_fenwick,home_fenwick_percent,home_corsi_weight,away_corsi_weight,home_corsi,away_corsi,home_corsi_percent
4v4,leading,2,0.9398989898989899,1.0683122847301951,79,77,0.5064102564102564,0.9592961332903003,1.0443111358439987,71.949463997269,76.51529782760186,0.4846231732897039,1.022382397572079,0.9785766158315178,652,750,0.46504992867332384,248,258,0.4901185770750988,227,272,0.45490981963927857,1.0541368743615935,0.9511520737327189,979,1085,0.4743217054263566,1.062603648424544,0.9443625644804716,1206,1357,0.47054233320327743
4v4,leading,3,0.9398989898989899,1.0683122847301951,67,55,0.5491803278688525,0.9592961332903003,1.0443111358439987,66.62633051094596,63.669510626117656,0.5113465627875179,1.022382397572079,0.9785766158315178,610,619,0.4963384865744508,190,240,0.4418604651162791,181,260,0.41043083900226757,1.0271049596309112,0.9742888402625821,867,914,0.48680516563728243,1.0601145038167938,0.9463373083475298,1048,1174,0.47164716471647167
3v3,,-3,1.0036873156342183,0.9963396778916545,0,1,0.0,0.9787174997251271,1.0222286633422561,0.011007085442543,0.1599401533603668,0.06438878755586921,0.9806981044845122,1.0200769415724933,1,1,0.5,0,0,,0,0,,0.9858654453569172,1.0145457500406305,1,2,0.3333333333333333,0.9830405405405406,1.0175549027836062,1,2,0.3333333333333333
3v3,,-2,1.0036873156342183,0.9963396778916545,1,0,1.0,0.9787174997251271,1.0222286633422561,0.5383768752217292,0.0,1.0,0.9806981044845122,1.0200769415724933,3,0,1.0,0,0,,0,0,,0.9858654453569172,1.0145457500406305,4,0,1.0,0.9830405405405406,1.0175549027836062,4,0,1.0
3v3,,-1,1.0036873156342183,0.9963396778916545,0,0,,0.9787174997251271,1.0222286633422561,0.1964877396821975,0.0,1.0,0.9806981044845122,1.0200769415724933,1,0,1.0,0,0,,1,0,1.0,0.9858654453569172,1.0145457500406305,1,0,1.0,0.9830405405405406,1.0175549027836062,2,0,1.0
3v3,,0,1.0036873156342183,0.9963396778916545,676,682,0.49779086892488955,0.9787174997251271,1.0222286633422561,715.9703066721556,686.1473780185913,0.5106349591689738,0.9806981044845122,1.0200769415724933,4318,4155,0.5096187890947717,1327,1311,0.5030326004548901,1067,994,0.5177098495875788,0.9858654453569172,1.0145457500406305,6321,6148,0.5069372042665812,0.9830405405405406,1.0175549027836062,7388,7142,0.5084652443220922
3v3,,1,1.0036873156342183,0.9963396778916545,1,0,1.0,0.9787174997251271,1.0222286633422561,0.1277187913656234,0.0,1.0,0.9806981044845122,1.0200769415724933,1,0,1.0,0,0,,0,0,,0.9858654453569172,1.0145457500406305,2,0,1.0,0.9830405405405406,1.0175549027836062,2,0,1.0
3v3,,2,1.0036873156342183,0.9963396778916545,0,0,,0.9787174997251271,1.0222286633422561,0.2070475853979586,0.0129448762163519,0.9411576373055601,0.9806981044845122,1.0200769415724933,2,1,0.6666666666666666,1,0,1.0,0,1,0.0,0.9858654453569172,1.0145457500406305,3,1,0.75,0.9830405405405406,1.0175549027836062,3,2,0.6
3v3,,3,1.0036873156342183,0.9963396778916545,0,0,,0.9787174997251271,1.0222286633422561,0.0,0.2094078436493873,0.0,0.9806981044845122,1.0200769415724933,0,2,0.0,0,0,,0,1,0.0,0.9858654453569172,1.0145457500406305,0,2,0.0,0.9830405405405406,1.0175549027836062,0,3,0.0
5v4,trailing,-3,0.8686440677966102,1.1781609195402298,529,440,0.5459236326109391,0.8737737547507454,1.1688538101523873,545.8652062434701,441.8953995020127,0.5526290510760901,0.8566556081559623,1.2009563127090301,4477,3193,0.583702737940026,1767,1237,0.5882157123834887,232,99,0.7009063444108762,0.8542067923056293,1.2058023884089892,6773,4870,0.5817229236451087,0.8542037445717947,1.2058084614611597,7005,4969,0.5850175379989978
